,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
0,S100-MK-y01,1,-0.317872862,0.59187124,0.436325655,-0.408374256,-0.238023517,-0.156797406,-0.133067779,0.275644208,-0.102625385,-0.710224032,-0.817700648,-0.663514696,-0.92707229,-0.755159438
1,S101-TK-y02,1,1.042598457,1.081701715,0.822118192,-0.064374186,2.065459687,-2.053410071,0.047848935,-0.3354819164468085,-0.032966726,-0.706054871,0.988088549,1.952144623,1.44572455,1.552736826
2,S103-RA-y03,1,0.319219716,1.140155952,-1.945578768,0.560541811,1.552092446,0.956355358,0.001540532,-0.810237452,1.190580702,-0.21292562,0.702688866,1.418985904,1.513501514,1.777566096
3,S104-TK-y04,1,0.538164572,0.178224816,1.192054928,-1.442282543,0.683869283,0.148289306,-0.641609215,-0.824032234,1.156993469,-0.095504152,-0.353913792,0.192897311,0.201070479,0.150242158
4,S105-NK-y05,1,-0.116478799,-0.309324432,-0.962733936,2.198252212,-0.463435554,1.722003192,0.867583921,0.43983119,0.054451943,0.526439008,-0.704905267,1.197259667,0.818231733,-0.021416629
5,S107-EB-y06,1,0.868040178,-0.642171681,-0.601430022,-0.646507531,1.296741042,0.403516549,-1.465618335,-0.90242643,-0.922234262,-0.946139608,0.697301294,0.06653312,0.750445849,0.240266145
6,S108-MM-y07,1,1.58828391,-0.469906309,0.487461517,-1.934816759,1.502992858,1.588238941,0.50924262,0.283745148,-0.81787295,0.977806762,0.638718001,0.876306622,0.172772395,-0.021997326
7,S109-TK-y08,1,-0.707940443,-0.153769473,-0.748956599,-1.745974653,0.918110122,0.705376854,-0.511325762,-0.648116682,0.270300742,0.206207509,0.245600444,-0.168990304,0.233582788,0.36451421
8,S115-EA-y09,1,0.783326086,1.956526489,1.600000496,1.770277945,0.489605823,-2.035883836,-0.38346104247916674,-0.822327816,0.978340047,1.574979834,-0.527669484,1.646743325,1.493095331,1.03141632
9,S116-EB-y10,1,0.807634568,-0.017657622,0.158529739,0.043636521,0.014868449,-1.451707857,-0.543357101,-0.824750945,-0.231756348,0.577791445,0.485468611,0.868268657,0.907969414,1.671566597
10,S118-TK-y11,1,0.565908157,-0.156209579,-0.64484792,0.682883719,2.709352379,2.298579225,-0.932587485,-0.342820616,0.015854881,-0.397132847,0.689211082,1.598524356,1.489069947,1.531200749
11,S119-EKh-y12,1,0.601766882,-0.081413972,-0.251290659,1.368931626,0.214709297,-0.083782796,0.400973798,0.31792491,-0.463870514,-0.006916608,0.767795216,-0.90341647,0.588934144,0.268077973
12,S120-GK-y13,1,-0.055749434,-0.764842918,-0.921971947,0.590675632,-0.486396862,0.437219731,0.004890184,-0.877583494,-1.210514236,0.33429965,0.442943488,-0.066568733,0.206348191,0.616472275
13,S122-KK-y14,1,0.124017471,0.646763248,0.320965028,-0.217426373,-0.248670471,-0.570103346,-0.540297591,-1.092577403,0.1997267,-0.727087057,-0.813419513,0.576573799,-0.360266555,0.006576017
14,S123-NKh-y15,1,0.242680259,-0.114586155,-0.241250665,-0.56587737,-0.319498533,-0.64141074,-1.216684617,-0.634683491,-0.862170438,-1.068037504,-0.833434539,-1.218159921,-0.149267251,-0.144045954
15,S126-DKh-y16,1,-0.462604462,-1.218539743,-0.978199764,-0.516404316,1.340376409,-1.100608456,-2.068533896,-1.902081204,-1.48966201,-1.229734313,0.881619686,1.302849517,0.506539231,1.992215078
16,S128-DL-y17,1,-0.498194182,-0.2039564,-1.400553729,-0.317576521,-0.345961651,-2.346714756,-0.678778903,-0.368405824,-1.241800033,-0.615578384,-0.44210008,-1.401200432,0.301905684,-0.046464109
17,S129-TG-y18,1,0.817175542,0.825060085,1.216366916,-1.514205675,-0.610892819,-0.85854821,-0.036150076,0.150291003,0.782906459,0.718716617,-0.068777085,1.534403521,1.228002498,1.917507633
18,S130-TK-y19,1,0.321052709,1.216720851,0.594635105,-0.957928676,-0.602204885,0.270959529,-0.920221698,-0.677219065,0.919572051,0.206297568,-0.819190032,-0.150095131,0.578107292,1.26005688
19,S131-DK-y20,1,-0.451891969,1.232138704,-2.537627826,-0.1033292,1.838809244,-0.10339434310416666,-0.38346104247916674,-2.541323215,-0.332114543,-0.92665862,0.502572142,1.856956559,1.590719487,1.095868456
